iter	MultiClass
194	0.1745264958
195	0.1733835242
196	0.1720734752
197	0.1704046551
198	0.1694017348
199	0.1683043304
200	0.1667996478
201	0.1655555398
202	0.1644316017
203	0.1632765932
204	0.1622553503
205	0.1608546152
206	0.1599511394
207	0.1585486222
208	0.157079556
209	0.1560091671
210	0.1547908982
211	0.1539821707
212	0.1529039157
213	0.1521342633
214	0.1513790657
215	0.1504788175
216	0.1494666567
217	0.1485523683
218	0.1475197173
219	0.1467755378
220	0.1459410502
221	0.1451969009
222	0.144368726
223	0.1436007462
224	0.1425393991
225	0.1413076502
226	0.1406753876
227	0.140004596
228	0.1392589758
229	0.138097901
230	0.1371762909
231	0.1364904421
232	0.1358899891
233	0.1346764387
234	0.1334954263
235	0.1328258594
236	0.1322757563
237	0.1316323608
238	0.1309417826
239	0.1300213427
240	0.1290794068
241	0.1282743686
242	0.127448553
243	0.1268064063
244	0.1261280373
245	0.1256262081
246	0.1247883187
247	0.12432978
248	0.123697662
249	0.1229525574
250	0.1222533051
251	0.1216188555
252	0.1210594463
253	0.1200727374
254	0.1196462598
255	0.1189476857
256	0.1181502469
257	0.1175173992
258	0.1169560911
259	0.116288017
260	0.1159237516
261	0.1151371438
262	0.1145903478
263	0.1141267175
264	0.1136672126
265	0.1129852336
266	0.1123724517
267	0.1119926498
268	0.1114272142
269	0.1107173021
270	0.1102409595
271	0.1097502369
272	0.1092960031
273	0.1087620157
274	0.1081915824
275	0.107592611
276	0.106861927
277	0.1063669851
278	0.1058281627
279	0.1053486692
280	0.1048624683
281	0.1044285478
282	0.1038188214
283	0.1032861912
284	0.1027881423
285	0.1024916558
286	0.1020178452
287	0.1016861329
288	0.101233781
289	0.1008247602
290	0.1004082352
291	0.0998836932
292	0.0995087349
293	0.09902409661
294	0.09862626275
295	0.09818773357
296	0.09765419689
297	0.09711232996
298	0.09674331081
299	0.09618471398
300	0.09577559329
301	0.09538543121
302	0.09496453381
303	0.09462401406
304	0.09421832642
305	0.09376150886
306	0.09313910835
307	0.09273067093
308	0.092369225
309	0.09208807149
310	0.09166379323
311	0.09106645261
312	0.09069876591
313	0.09046082606
314	0.09011578921
315	0.08975020045
316	0.08940773373
317	0.08891322993
318	0.08845457477
319	0.08812135471
320	0.08783956035
321	0.08732956673
322	0.08705511795
323	0.08667337615
324	0.08638551105
325	0.08606745651
326	0.0857316159
327	0.08542024444
328	0.08509308194
329	0.08461568889
330	0.08414072701
331	0.08387411683
332	0.08352545392
333	0.08312928777
334	0.08277915244
335	0.08256417276
336	0.08230530821
337	0.08191073733
338	0.08150338283
339	0.08120720382
340	0.08092285308
341	0.08059871907
342	0.08033799083
343	0.0799903477
344	0.07952680734
345	0.07920714209
346	0.07886667287
347	0.07860003353
348	0.07824788414
349	0.07797593427
350	0.07771389469
351	0.0774348634
352	0.07724622348
353	0.07686748343
354	0.07650522185
355	0.07625862686
356	0.07604304755
357	0.07575444697
358	0.07554059123
359	0.07532026934
360	0.0750754677
361	0.07480450638
362	0.07446049135
363	0.07408917393
364	0.0738656122
365	0.07360865774
366	0.07342541919
367	0.07312679534
368	0.07282280829
369	0.07258192313
370	0.07234158907
371	0.07217578147
372	0.07199907142
373	0.07176103061
374	0.07154937656
375	0.07125158045
376	0.07103004383
377	0.0707265957
378	0.0704430228
379	0.07010531029
380	0.06986101037
381	0.06964912184
382	0.06933488954
383	0.06912305003
384	0.06887272298
385	0.0685657811
386	0.06836581225
387	0.06816830999
388	0.06782397126
389	0.06758125099
390	0.06738124616
391	0.06713671072
392	0.06695540942
393	0.06667291824
394	0.06642297604
395	0.06623157206
396	0.06607429724
397	0.06588440483
398	0.06572420351
399	0.06556895846
400	0.06537952669
401	0.06520577851
402	0.06505267711
403	0.06489521373
404	0.06470816571
405	0.06447210517
406	0.06429584545
407	0.06416053849
408	0.06394517955
409	0.06376234317
410	0.06356859344
411	0.06330129039
412	0.06311956218
413	0.06283507935
414	0.06265837912
415	0.0624741922
416	0.06224675733
417	0.06205535023
418	0.06193082356
419	0.06177476091
420	0.06158959995
421	0.06132981061
422	0.06118515649
423	0.0610385834
424	0.06080759243
425	0.06064235218
426	0.06049416094
427	0.0602983234
428	0.06013191696
429	0.059976319
430	0.05984628774
431	0.05971379015
432	0.05955568271
433	0.05935097604
434	0.05920677888
435	0.05904216943
436	0.05889492319
437	0.05874186287
438	0.05854154477
439	0.05836858314
440	0.05811104287
441	0.05799554043
442	0.05789583885
443	0.05771377814
444	0.05747301697
445	0.05735415685
446	0.05718379081
447	0.05703281488
448	0.0568672573
449	0.05664078466
450	0.05651195723
451	0.05629838191
452	0.05607203759
453	0.05591403578
454	0.05577242875
455	0.05557626948
456	0.05540695921
457	0.05525966329
458	0.05509378194
459	0.0549777193
460	0.05481734445
461	0.05466643128
462	0.05453242149
463	0.05441467307
464	0.0542371982
465	0.05409637949
466	0.05397887782
467	0.05385518184
468	0.05373869448
469	0.05358798888
470	0.05347087521
471	0.05333208834
472	0.05318913717
473	0.05301710519
474	0.05288208177
475	0.05275306695
476	0.05259128586
477	0.05241992367
478	0.05232221776
479	0.05220501666
480	0.05205152501
481	0.05187164196
482	0.05169217757
483	0.0515984451
484	0.05145497521
485	0.0512946153
486	0.05118869372
487	0.05104680928
488	0.05095427195
489	0.05083841325
490	0.05072866474
491	0.05059669834
492	0.05049978289
493	0.05034794422
494	0.05020871813
495	0.05009279493
496	0.04998039844
497	0.04985798245
498	0.04974558132
499	0.04959570484
500	0.04945357112
501	0.04936283251
502	0.0492326168
503	0.04912090349
504	0.0490113517
505	0.04884270734
506	0.04872381769
507	0.04861828033
508	0.04849891749
509	0.04839260416
510	0.04830595552
511	0.04821676736
512	0.04810543465
513	0.04794248967
514	0.04780832189
515	0.0477002022
516	0.0476085156
517	0.04747842865
518	0.04737217769
519	0.04724234589
520	0.04712729192
521	0.04699211571
522	0.04686781656
523	0.04676288669
524	0.04665160797
525	0.0465105719
526	0.04640257944
527	0.046304639
528	0.04620669118
529	0.0460840822
530	0.04597772835
531	0.04585553946
532	0.04576927575
533	0.04571109907
534	0.04561450393
535	0.04553363628
536	0.04540698354
537	0.0452562745
538	0.04516788946
539	0.04507137512
540	0.04493790279
541	0.04481889318
542	0.04472480352
543	0.04465387001
544	0.04456954009
545	0.04449534152
546	0.04441022127
547	0.0443184498
548	0.04421855967
549	0.04412517674
550	0.04401025093
551	0.04391258085
552	0.04381418555
553	0.04373426584
554	0.0436081581
555	0.0435147203
556	0.0434282933
557	0.0433488034
558	0.04324367713
559	0.0431507708
560	0.04307074615
561	0.04297417889
562	0.04289467465
563	0.04280437017
564	0.04271546557
565	0.042590237
566	0.04250659586
567	0.0424277743
568	0.04235625655
569	0.04228947178
570	0.04221610357
571	0.04212312066
572	0.04205407188
573	0.0419786123
574	0.04191235327
575	0.0418456578
576	0.04173787077
577	0.04167156448
578	0.04157958542
579	0.04150470589
580	0.04141803372
581	0.04134240268
582	0.04126442149
583	0.04117219575
584	0.04110224923
585	0.04102936581
586	0.04094328627
587	0.0408403864
588	0.04078108639
589	0.04070610385
590	0.04063040182
591	0.04057474011
592	0.04051980063
593	0.04041683068
594	0.04034596072
595	0.04027477127
596	0.04020369387
597	0.0401096963
598	0.04002948404
599	0.0399595279
600	0.03986858015
601	0.03977471386
602	0.03968978954
603	0.03958666152
604	0.03953431368
605	0.0394450983
606	0.03932414472
607	0.0392569166
608	0.03920450739
609	0.03911710506
610	0.03904967754
611	0.03898643657
612	0.03892594504
613	0.03885818602
614	0.0387743404
615	0.03869811031
616	0.03859259485
617	0.03850994685
618	0.03842689422
619	0.03834600375
620	0.03827777166
621	0.03816709434
622	0.03808455619
623	0.03801692483
624	0.03795271016
625	0.03789074444
626	0.03779078404
627	0.03773089182
628	0.037632171
629	0.03754788242
630	0.03748954472
631	0.03742565062
632	0.03733582213
633	0.03724979178
634	0.03718465869
635	0.03712885718
636	0.03705743599
637	0.03697316943
638	0.03690459463
639	0.03682845734
640	0.03676936561
641	0.03670959718
642	0.03664781692
643	0.03659119362
644	0.03652303203
645	0.03645486213
646	0.03637469654
647	0.03632382769
648	0.03627202514
649	0.03621345634
650	0.03616978963
651	0.03608171285
652	0.0360145708
653	0.03596114881
654	0.03587125692
655	0.03580681595
656	0.03574591524
657	0.03567645213
658	0.03558003984
659	0.03549623802
660	0.03545398171
661	0.03538891192
662	0.03532414286
663	0.035225051
664	0.03517004055
665	0.03512237944
666	0.03506173165
667	0.03500692542
668	0.03494628492
669	0.03488366703
670	0.034812023
671	0.03477204761
672	0.03469048675
673	0.03464063682
674	0.0345819455
675	0.03453067053
676	0.03447575608
677	0.03439299808
678	0.03432004008
679	0.03426111146
680	0.03417062994
681	0.03410363013
682	0.03404563534
683	0.033988724
684	0.03392472991
685	0.03388340395
686	0.0338350988
687	0.03375139782
688	0.03369138284
689	0.03363129763
690	0.03356877525
691	0.03349258104
692	0.03344555538
693	0.03339330545
694	0.03332521104
695	0.03325948268
696	0.03321661089
697	0.03316477939
698	0.03310664295
699	0.03304671973
700	0.03298732837
701	0.03291534995
702	0.03287940115
703	0.03283204365
704	0.03279019534
705	0.03273666877
706	0.03268882554
707	0.03264499705
708	0.03259424688
709	0.03255291009
710	0.03249508842
711	0.03243262066
712	0.03238827711
713	0.03233877968
714	0.03230073616
715	0.03224972436
716	0.0322029063
717	0.03214828319
718	0.03209965096
719	0.03205349517
720	0.03200216415
721	0.03195659517
722	0.03191935115
723	0.03188461654
724	0.03183697443
725	0.0317912434
726	0.03172959762
727	0.03168821023
728	0.03164622859
729	0.0316069435
730	0.03155328425
731	0.03150933754
732	0.03147357083
733	0.03142737205
734	0.03137126398
735	0.03131335321
736	0.03125500972
737	0.03121473285
738	0.03115678287
739	0.03111223966
740	0.03106993764
741	0.03102242336
742	0.03095145473
743	0.03089483178
744	0.03082185673
745	0.03076001296
746	0.03071700783
747	0.03068541465
748	0.03063633234
749	0.03059482098
750	0.03054374436
751	0.03050898932
752	0.03045906199
753	0.0304150867
754	0.03037858259
755	0.03033779377
756	0.03027054789
757	0.03022520956
758	0.03019255705
759	0.0301381682
760	0.03009413561
761	0.03005009174
762	0.03000631385
763	0.02994229014
764	0.02989298576
765	0.02983677637
766	0.0297781861
767	0.02973531692
768	0.02969638476
769	0.02965263788
770	0.02961558486
771	0.02956691761
772	0.02952882085
773	0.02948358909
774	0.02944150771
775	0.02940534792
776	0.02935303446
777	0.02932638314
778	0.02927990647
779	0.02921651982
780	0.02918097985
781	0.02911978817
782	0.02906089767
783	0.02901225794
784	0.02897775377
785	0.02894626273
786	0.02891527233
787	0.02888955634
788	0.02885042661
789	0.02880450383
790	0.02876646749
791	0.02870815167
792	0.02867206842
793	0.02862805868
794	0.02859767085
795	0.02856025402
796	0.02852108023
797	0.02845529818
798	0.02842716941
799	0.02838703146
800	0.02834604131
801	0.0283046243
802	0.02826833836
803	0.0282046512
804	0.02817412118
805	0.02813492234
806	0.02810064192
807	0.02806302845
808	0.02803442814
809	0.02799983245
810	0.02796263546
811	0.02792895333
812	0.02789615087
813	0.0278571272
814	0.02781097764
815	0.02777631245
816	0.02774181124
817	0.02769607155
818	0.02765801316
819	0.02762636943
820	0.02759614663
821	0.02755449272
822	0.02752240008
823	0.02748475598
824	0.02744956729
825	0.02741363158
826	0.02737895733
827	0.02734154486
828	0.0273079835
829	0.02727853948
830	0.02723910525
831	0.02720198114
832	0.02716515047
833	0.02712676136
834	0.02707531914
835	0.02703961417
836	0.02700564388
837	0.02696572458
838	0.02691434219
839	0.02688061362
840	0.02684904551
841	0.02681860215
842	0.02676454318
843	0.02672876543
844	0.02669212933
845	0.02664253962
846	0.02658767646
847	0.02654776564
848	0.02651864055
849	0.02647403238
850	0.02644428516
851	0.02641064189
852	0.02637323187
853	0.02634353401
854	0.02630624445
855	0.02626229264
856	0.02623218741
857	0.02618987385
858	0.02614683134
859	0.02611739876
860	0.02606923911
861	0.02603569531
862	0.02600089963
863	0.02596646716
864	0.02593515956
865	0.02591249222
866	0.0258765197
867	0.02584034308
868	0.02579708778
869	0.02574956815
870	0.02571647816
871	0.025684378
872	0.02565147352
873	0.02562215163
874	0.02559288068
875	0.02556383072
876	0.02552756915
877	0.02549589095
878	0.02546338767
879	0.02543877357
880	0.02540983409
881	0.02537844972
882	0.02534857345
883	0.02532051583
884	0.02527612609
885	0.02524680603
886	0.02521484689
887	0.02519345886
888	0.02515987368
889	0.02513072304
890	0.02510332328
891	0.02507163783
892	0.02504326572
893	0.02502144557
894	0.02498515475
895	0.02493813758
896	0.02491328946
897	0.02486640482
898	0.02483745475
899	0.02480814883
900	0.02477241498
901	0.02474337387
902	0.0247057929
903	0.02466741512
904	0.02464318526
905	0.02460678671
906	0.02457823762
907	0.02454760893
908	0.02450496929
909	0.02447723111
910	0.02443899802
911	0.02441560394
912	0.02438706693
913	0.02434316104
914	0.02431041173
915	0.02427420764
916	0.02424214074
917	0.02420752024
918	0.02416741178
919	0.02413517363
920	0.02411003579
921	0.02407118091
922	0.02403242434
923	0.023998479
924	0.02397264498
925	0.02393528527
926	0.02389466963
927	0.02387519781
928	0.02384609133
929	0.0238021028
930	0.02377101689
931	0.02373430761
932	0.02370362168
933	0.02366897426
934	0.02364406089
935	0.02362457792
936	0.02358940906
937	0.02356305362
938	0.02354558749
939	0.02351352737
940	0.02349164018
941	0.02346332796
942	0.02343257044
943	0.02340772347
944	0.02338040358
945	0.02335622212
946	0.02331697864
947	0.02329084247
948	0.02326741681
949	0.02323121745
950	0.02320164724
951	0.02317404606
952	0.02314956689
953	0.0231211359
954	0.02308444682
955	0.0230632982
956	0.02302958275
957	0.02300452078
958	0.02297803887
959	0.02295291868
960	0.02290975748
961	0.02288606438
962	0.0228626183
963	0.02283186713
964	0.02280054239
965	0.02276023782
966	0.02273829711
967	0.0227120899
968	0.02268847638
969	0.02264532219
970	0.02261906955
971	0.02259040777
972	0.02256209376
973	0.02253238918
974	0.02250791151
975	0.02248316138
976	0.02245959643
977	0.02243785991
978	0.02241742138
979	0.02238806794
980	0.02236243516
981	0.02234413661
982	0.02231973706
983	0.02228951349
984	0.02225982205
985	0.02223692661
986	0.02221027068
987	0.02218815343
988	0.02216903245
989	0.02214303247
990	0.02211159202
991	0.02208750437
992	0.02206161907
993	0.02204203275
994	0.02201752609
995	0.02199585028
996	0.02196101804
997	0.02193513686
998	0.02190504595
999	0.02188870643
